;Cases;date
0;3.0;2020-03-19
1;4.454541663462991;2020-03-20
2;6.132014510000277;2020-03-21
3;8.018902376726912;2020-03-22
4;10.104518718148988;2020-03-23
5;12.380105117931029;2020-03-24
6;14.838291753734993;2020-03-25
7;17.472751459493033;2020-03-26
8;20.277965138665113;2020-03-27
9;23.2490561296968;2020-03-28
10;26.381669286647593;2020-03-29
11;29.67188013731539;2020-03-30
12;33.11612533205082;2020-03-31
13;36.71114780739327;2020-04-01
14;40.45395333389078;2020-04-02
15;44.34177533486822;2020-04-03
16;48.372046073062016;2020-04-04
17;52.54237275474406;2020-04-05
18;56.8505175962247;2020-04-06
19;61.29438103935279;2020-04-07
20;65.8719872943413;2020-04-08
21;70.58147196401434;2020-04-09
22;75.42107152984178;2020-04-10
23;80.38911409180804;2020-04-11
24;85.48401125557415;2020-04-12
25;90.70425104698364;2020-04-13
26;96.04839167205712;2020-04-14
27;101.51505589743064;2020-04-15
28;107.10292615188976;2020-04-16
29;112.81074036693599;2020-04-17
30;118.63728735000764;2020-04-18
31;124.5814039652106;2020-04-19
32;130.64197123527197;2020-04-20
33;136.8179119960221;2020-04-21
34;143.10818775394688;2020-04-22
35;149.51179667052295;2020-04-23
36;156.027771013971;2020-04-24
37;162.65517541417006;2020-04-25
38;169.39310477411695;2020-04-26
39;176.24068275247555;2020-04-27
40;183.19706003116343;2020-04-28
41;190.261412976653;2020-04-29
42;197.43294212123246;2020-04-30
43;204.71087119817489;2020-05-01
44;212.094446045825;2020-05-02
45;219.58293288089158;2020-05-03
46;227.17561789409794;2020-05-04
47;234.87180638174607;2020-05-05
48;242.6708213269574;2020-05-06
49;250.57200299532394;2020-05-07
50;258.57470825413236;2020-05-08
51;266.6783094653082;2020-05-09
52;274.88219407362584;2020-05-10
53;283.18576406041547;2020-05-11
54;291.5884350716669;2020-05-12
55;300.0896360205781;2020-05-13
56;308.688808640383;2020-05-14
57;317.38540678752787;2020-05-15
58;326.17889607057754;2020-05-16
59;335.06875347831954;2020-05-17
60;344.05446681363844;2020-05-18
61;353.13553435387223;2020-05-19
62;362.311464535583;2020-05-20
63;371.5817754240694;2020-05-21
64;380.94599449531734;2020-05-22
65;390.40365840707034;2020-05-23
66;399.9543126896517;2020-05-24
67;409.5975113352455;2020-05-25
68;419.33281610767153;2020-05-26
69;429.159796948929;2020-05-27
70;439.0780315539193;2020-05-28
71;449.08710513466207;2020-05-29
72;459.1866098388947;2020-05-30
73;469.37614475185035;2020-05-31
74;479.65531585449037;2020-06-01
75;490.0237357365399;2020-06-02
76;500.48102334265076;2020-06-03
77;511.0268035584462;2020-06-04
78;521.6607073939931;2020-06-05
79;532.3823717221428;2020-06-06
80;543.191439116322;2020-06-07
81;554.0875575191725;2020-06-08
82;565.0703801958097;2020-06-09
83;576.1395656806486;2020-06-10
84;587.2947775934338;2020-06-11
85;598.5356844757672;2020-06-12
86;609.8619595406992;2020-06-13
87;621.2732807354781;2020-06-14
88;632.7693305763142;2020-06-15
89;644.3497960335935;2020-06-16
90;656.0143683281053;2020-06-17
91;667.7627428755588;2020-06-18
92;679.594619236234;2020-06-19
93;691.5097009902283;2020-06-20
94;703.5076956073827;2020-06-21
95;715.5883142524066;2020-06-22
96;727.7512719017761;2020-06-23
97;739.9962871979535;2020-06-24
98;752.3230823674734;2020-06-25
99;764.7313831529154;2020-06-26
100;777.220918749855;2020-06-27
101;789.7914214515489;2020-06-28
102;802.4426266197564;2020-06-29
103;815.1742730009411;2020-06-30
104;827.9861024579517;2020-07-01
105;840.8778599118831;2020-07-02
106;853.8492932877004;2020-07-03
107;866.9001534439235;2020-07-04
108;880.0301937977894;2020-07-05
109;893.2391706144718;2020-07-06
110;906.5268429682369;2020-07-07
111;919.8929726140698;2020-07-08
112;933.3373239401202;2020-07-09
113;946.8596639229085;2020-07-10
114;960.4597620233029;2020-07-11
115;974.1373899576688;2020-07-12
116;987.892321974589;2020-07-13
117;1001.7243347072911;2020-07-14
118;1015.633207115613;2020-07-15
119;1029.6187204465948;2020-07-16
120;1043.680658197152;2020-07-17
121;1057.8188059710933;2020-07-18
122;1072.0329514398295;2020-07-19
123;1086.322884463489;2020-07-20
124;1100.6883969723249;2020-07-21
125;1115.1292829319998;2020-07-22
126;1129.645338310618;2020-07-23
127;1144.2363610413513;2020-07-24
128;1158.902150873559;2020-07-25
129;1173.6425094596086;2020-07-26
130;1188.4572403353038;2020-07-27
131;1203.3461488589685;2020-07-28
132;1218.3090421824033;2020-07-29
133;1233.3457292230926;2020-07-30
134;1248.4560206158073;2020-07-31
135;1263.6397286110564;2020-08-01
136;1278.8966671717164;2020-08-02
137;1294.2266519085551;2020-08-03
138;1309.6295000473451;2020-08-04
139;1325.105030404254;2020-08-05
140;1340.653063362218;2020-08-06
141;1356.2734207752442;2020-08-07
142;1371.965925953995;2020-08-08
143;1387.730403766794;2020-08-09
144;1403.5666805481346;2020-08-10
145;1419.4745840779601;2020-08-11
146;1435.4539435621678;2020-08-12
147;1451.5045896140223;2020-08-13
148;1467.626354236478;2020-08-14
