;Cases;date
0;1.0;2020-03-06
1;1.5632199891051712;2020-03-07
2;2.3304700647596888;2020-03-08
3;3.3436943033071573;2020-03-09
4;4.648199736453474;2020-03-10
5;6.292581052509375;2020-03-11
6;8.328653158592589;2020-03-12
7;10.811390418639771;2020-03-13
8;13.798871163965076;2020-03-14
9;17.352226878394088;2020-03-15
10;21.53559492378827;2020-03-16
11;26.416075311806253;2020-03-17
12;32.06368940937052;2020-03-18
13;38.551341600248726;2020-03-19
14;45.95478314080562;2020-03-20
15;54.352577716448636;2020-03-21
16;63.82606870044819;2020-03-22
17;74.45934787691058;2020-03-23
18;86.33922544832349;2020-03-24
19;99.55520106092457;2020-03-25
20;114.19943582730154;2020-03-26
21;130.36672529449586;2020-03-27
22;148.15447301472142;2020-03-28
23;167.66266479038825;2020-03-29
24;188.9938435052045;2020-03-30
25;212.25308431074632;2020-03-31
26;237.547970246662;2020-04-01
27;264.9885681069225;2020-04-02
28;294.6874045964421;2020-04-03
29;326.7594429292965;2020-04-04
30;361.32205846550085;2020-04-05
31;398.49501605137806;2020-04-06
32;438.4004456496117;2020-04-07
33;481.1628193006279;2020-04-08
34;526.9089270365535;2020-04-09
35;575.767853086646;2020-04-10
36;627.8709519013098;2020-04-11
37;683.3518234275789;2020-04-12
38;742.3462889916245;2020-04-13
39;804.9923657113121;2020-04-14
40;871.4302417529312;2020-04-15
41;941.8022500178939;2020-04-16
42;1016.2528423502607;2020-04-17
43;1094.928562244826;2020-04-18
44;1177.978018227046;2020-04-19
45;1265.5518567921795;2020-04-20
46;1357.8027326185038;2020-04-21
47;1454.8852788917998;2020-04-22
48;1556.9560803053737;2020-04-23
49;1664.1736415665519;2020-04-24
50;1776.6983540991587;2020-04-25
51;1894.692467407097;2020-04-26
52;2018.320055973249;2020-04-27
53;2147.746983458361;2020-04-28
54;2283.14087063355;2020-04-29
55;2424.67106073913;2020-04-30
56;2572.5085814829745;2020-05-01
57;2726.8261086745392;2020-05-02
58;2887.7979298692167;2020-05-03
59;3055.5999043041243;2020-05-04
60;3230.4094218851683;2020-05-05
61;3412.405364721059;2020-05-06
62;3601.76806446403;2020-05-07
63;3798.679257495882;2020-05-08
64;4003.3220430596125;2020-05-09
65;4215.880837901912;2020-05-10
66;4436.5413273387985;2020-05-11
67;4665.49042047796;2020-05-12
68;4902.916202418136;2020-05-13
69;5149.007884555562;2020-05-14
70;5403.955751188001;2020-05-15
71;5667.951102567355;2020-05-16
72;5941.186210867071;2020-05-17
73;6223.854262743398;2020-05-18
74;6516.149303590023;2020-05-19
75;6818.266174477303;2020-05-20
76;7130.4004581785985;2020-05-21
77;7452.748421328785;2020-05-22
78;7785.506952237559;2020-05-23
79;8128.873497371887;2020-05-24
80;8483.045994070424;2020-05-25
81;8848.222811577521;2020-05-26
82;9224.60268309681;2020-05-27
83;9612.384638201354;2020-05-28
84;10011.767931197584;2020-05-29
85;10422.951972446126;2020-05-30
86;10846.136258133956;2020-05-31
87;11281.520296607412;2020-06-01
88;11729.303534035664;2020-06-02
89;12189.685278163486;2020-06-03
90;12662.86462258767;2020-06-04
91;13149.04036836196;2020-06-05
92;13648.410944545234;2020-06-06
93;14161.174328776262;2020-06-07
94;14687.527964997746;2020-06-08
95;15227.668679470216;2020-06-09
96;15781.79259679296;2020-06-10
97;16350.09505601303;2020-06-11
98;16932.770530976966;2020-06-12
99;17530.012530433567;2020-06-13
100;18142.013512169968;2020-06-14
101;18768.964793253403;2020-06-15
102;19411.056458187224;2020-06-16
103;20068.477265796937;2020-06-17
104;20741.414561645684;2020-06-18
105;21430.054225162316;2020-06-19
106;22134.580513853914;2020-06-20
107;22855.17597957396;2020-06-21
108;23592.02137702237;2020-06-22
109;24345.295564795386;2020-06-23
110;25115.175405269332;2020-06-24
111;25901.835671878103;2020-06-25
112;26705.449033241708;2020-06-26
113;27526.185844912998;2020-06-27
114;28364.214059462738;2020-06-28
115;29219.69914043923;2020-06-29
116;30092.803958708068;2020-06-30
117;30983.68868782803;2020-07-01
118;31892.510704088956;2020-07-02
119;32819.42458316683;2020-07-03
120;33764.5819021635;2020-07-04
121;34728.13112743846;2020-07-05
122;35710.21753551692;2020-07-06
123;36710.98311003987;2020-07-07
124;37730.56644349605;2020-07-08
125;38769.102663395366;2020-07-09
126;39826.72329062712;2020-07-10
127;40903.55614484093;2020-07-11
128;41999.72524477621;2020-07-12
129;43115.350704744895;2020-07-13
130;44250.54866747085;2020-07-14
131;45405.431272255155;2020-07-15
132;46580.106424460646;2020-07-16
133;47774.67774517852;2020-07-17
134;48989.24447702998;2020-07-18
135;50223.901386415106;2020-07-19
136;51478.73872109142;2020-07-20
137;52753.842126629235;2020-07-21
138;54049.292470061795;2020-07-22
139;55365.16578946786;2020-07-23
140;56701.533203508734;2020-07-24
141;58058.46082311927;2020-07-25
142;59436.009753406106;2020-07-26
143;60834.23595065345;2020-07-27
144;62253.190100714186;2020-07-28
145;63692.91756961159;2020-07-29
146;65153.458323917235;2020-07-30
147;66634.84686189095;2020-07-31
148;68137.11224520038;2020-08-01
149;69660.27791203628;2020-08-02
150;71204.36161494067;2020-08-03
151;72769.3753735548;2020-08-04
152;74355.32540956605;2020-08-05
153;75962.21210579915;2020-08-06
154;77590.03004804514;2020-08-07
155;79238.76781740853;2020-08-08
156;80908.40799119158;2020-08-09
157;82598.92709630154;2020-08-10
158;84310.2955622776;2020-08-11
159;86042.47774093764;2020-08-12
160;87795.43192164341;2020-08-13
161;89569.11011656086;2020-08-14
162;91363.45810820434;2020-08-15
163;93178.41542239778;2020-08-16
164;95013.91530156352;2020-08-17
165;96869.88468118441;2020-08-18
166;98746.24416955501;2020-08-19
167;100642.90807399024;2020-08-20
168;102559.78461006298;2020-08-21
169;104496.7755605863;2020-08-22
170;106453.77636660225;2020-08-23
171;108430.67616609816;2020-08-24
172;110427.35780748553;2020-08-25
173;112443.69786824871;2020-08-26
174;114479.56667892297;2020-08-27
175;116534.82834358196;2020-08-28
176;118609.34050400363;2020-08-29
177;120702.95463232232;2020-08-30
