;Cases;date
0;1.0;2020-02-26
1;1.968547420100558;2020-02-27
2;3.56490587848799;2020-02-28
3;6.048760492381605;2020-02-29
4;9.740830329155266;2020-03-01
5;15.028656011215807;2020-03-02
6;22.372283249328458;2020-03-03
7;32.3098531321617;2020-03-04
8;45.463109961134975;2020-03-05
9;62.542832574557686;2020-03-06
10;84.35419662564463;2020-03-07
11;111.80207274048496;2020-03-08
12;145.89626535791703;2020-03-09
13;187.7566960037271;2020-03-10
14;238.61853452446186;2020-03-11
15;299.83728120972864;2020-03-12
16;372.8938021171123;2020-03-13
17;459.39932025729814;2020-03-14
18;561.1003640829756;2020-03-15
19;679.8836750881156;2020-03-16
20;817.7810759218441;2020-03-17
21;976.9743000968169;2020-03-18
22;1159.7997843078185;2020-03-19
23;1368.7534239234105;2020-03-20
24;1606.4952924510742;2020-03-21
25;1875.8543252480126;2020-03-22
26;2179.8329677378792;2020-03-23
27;2521.611787897248;2020-03-24
28;2904.5540532775385;2020-03-25
29;3332.2102721379865;2020-03-26
30;3808.322698042003;2020-03-27
31;4336.829797627248;2020-03-28
32;4921.870680424097;2020-03-29
33;5567.789490263334;2020-03-30
34;6279.139757882135;2020-03-31
35;7060.6887090480595;2020-04-01
36;7917.421535414226;2020-04-02
37;8854.545616029742;2020-04-03
38;9877.494697686338;2020-04-04
39;10991.933024114825;2020-04-05
40;12203.759417041038;2020-04-06
41;13519.111305265298;2020-04-07
42;14944.36869663244;2020-04-08
43;16486.158097826883;2020-04-09
44;18151.356365716085;2020-04-10
45;19947.09450580704;2020-04-11
46;21880.76138307861;2020-04-12
47;23960.007410516282;2020-04-13
48;26192.748121373;2020-04-14
49;28587.167621889843;2020-04-15
50;31151.72211007016;2020-04-16
51;33895.14312231818;2020-04-17
52;36826.44082090342;2020-04-18
53;39954.907181090086;2020-04-19
54;43290.11893479943;2020-04-20
55;46841.940641431574;2020-04-21
56;50620.52744174076;2020-04-22
57;54636.32776163123;2020-04-23
58;58900.08600711541;2020-04-24
59;63422.84487637722;2020-04-25
60;68215.94781385074;2020-04-26
61;73291.0411685448;2020-04-27
62;78660.07612940545;2020-04-28
63;84335.31077936712;2020-04-29
64;90329.31158997212;2020-04-30
65;96654.95513032917;2020-05-01
66;103325.42957467775;2020-05-02
67;110354.23549831509;2020-05-03
68;117755.18692572351;2020-05-04
69;125542.41247782069;2020-05-05
70;133730.3555984751;2020-05-06
71;142333.7746869989;2020-05-07
72;151367.74376244488;2020-05-08
73;160847.65206051787;2020-05-09
74;170789.20319785786;2020-05-10
75;181208.41521425568;2020-05-11
76;192121.61947189688;2020-05-12
77;203545.45883311622;2020-05-13
78;215496.8868574845;2020-05-14
79;227993.16596114342;2020-05-15
80;241051.86461625533;2020-05-16
81;254690.85545694374;2020-05-17
82;268928.31265200174;2020-05-18
83;283782.7080788443;2020-05-19
84;299272.8081643392;2020-05-20
85;315417.67035593477;2020-05-21
86;332236.6382674481;2020-05-22
87;349749.337007354;2020-05-23
