;Cases;date
0;1.0;2020-03-06
1;1.2057343188777687;2020-03-07
2;1.4514072263623;2020-03-08
3;1.7443166665388425;2020-03-09
4;2.093012462821728;2020-03-10
5;2.5074971462029927;2020-03-11
6;2.9994568315550043;2020-03-12
7;3.5825266445524395;2020-03-13
8;4.272594493651107;2020-03-14
9;5.088149478310393;2020-03-15
10;6.0506802230120265;2020-03-16
11;7.185129970771907;2020-03-17
12;8.52041608654894;2020-03-18
13;10.090021914344593;2020-03-19
14;11.932670706887588;2020-03-20
15;14.093091850361278;2020-03-21
16;16.622890969933714;2020-03-22
17;19.581536822344205;2020-03-23
18;23.037479019404962;2020-03-24
19;27.069412691229388;2020-03-25
20;31.767707140624523;2020-03-26
21;37.2360175678703;2020-03-27
22;43.593100832790086;2020-03-28
23;50.974857940864425;2020-03-29
24;59.5366279149305;2020-03-30
25;69.455759684933;2020-03-31
26;80.93449062096715;2020-04-01
27;94.20316171562862;2020-04-02
28;109.523801942974;2020-04-03
29;127.19411457756648;2020-04-04
30;147.55189971441644;2020-04-05
31;170.97994745994185;2020-04-06
32;197.91143505822654;2020-04-07
33;228.83585967314798;2020-04-08
34;264.30553497170143;2020-04-09
35;304.9426739565795;2020-04-10
36;351.44707120238434;2020-04-11
37;404.6043882683074;2020-04-12
38;465.2950299243198;2020-04-13
39;534.5035740337804;2020-04-14
40;613.3286928290195;2020-04-15
41;702.9934774359851;2020-04-16
42;804.8560241857951;2020-04-17
43;920.4200804457546;2020-04-18
44;1051.3455052001004;2020-04-19
45;1199.4582168479371;2020-04-20
46;1366.7591961035962;2020-04-21
47;1555.431993892106;2020-04-22
48;1767.8481517885111;2020-04-23
49;2006.569732975761;2020-04-24
50;2274.3480390549666;2020-04-25
51;2574.1174841025254;2020-04-26
52;2908.9834926429135;2020-04-27
53;3282.2030896880096;2020-04-28
54;3697.156827264541;2020-04-29
55;4157.310780946679;2020-04-30
56;4666.167263102688;2020-05-01
57;5227.203169469598;2020-05-02
58;5843.795327350618;2020-05-03
59;6519.132508919813;2020-05-04
60;7256.1145546637545;2020-05-05
61;8057.240218107127;2020-05-06
62;8924.486015543784;2020-05-07
63;9859.179722391951;2020-05-08
64;10861.873927326189;2020-05-09
65;11932.22505769808;2020-05-10
66;13068.886173245033;2020-05-11
67;14269.420586465134;2020-05-12
68;15530.244762449945;2020-05-13
69;16846.607752421653;2020-05-14
70;18212.61318694346;2020-05-15
71;19621.287643187516;2020-05-16
72;21064.69625697013;2020-05-17
73;22534.10328218283;2020-05-18
74;24020.172143068747;2020-05-19
75;25513.19365096507;2020-05-20
76;27003.33522737313;2020-05-21
77;28480.892785897475;2020-05-22
78;29936.53554790067;2020-05-23
79;31361.529067877997;2020-05-24
80;32747.926445138823;2020-05-25
81;34088.71956531223;2020-05-26
82;35377.94573734763;2020-05-27
83;36610.748403166814;2020-05-28
84;37783.39405107882;2020-05-29
85;38893.24819966697;2020-05-30
86;39938.71830006458;2020-05-31
87;40919.17405114772;2020-06-01
88;41834.840484670654;2020-06-02
89;42686.688865443466;2020-06-03
90;43476.31687201165;2020-06-04
91;44205.83190826916;2020-06-05
92;44877.7391044431;2020-06-06
93;45494.83768021906;2020-06-07
94;46060.1277895676;2020-06-08
95;46576.72903592533;2020-06-09
96;47047.81092663374;2020-06-10
97;47476.5349869635;2020-06-11
98;47866.008225528225;2020-06-12
99;48219.246414520465;2020-06-13
100;48539.146667042;2020-06-14
101;48828.46749076987;2020-06-15
102;49089.814244713845;2020-06-16
103;49325.63364150904;2020-06-17
104;49538.209215256305;2020-06-18
105;49729.66151370292;2020-06-19
106;49901.951362042244;2020-06-20
107;50056.88496449349;2020-06-21
108;50196.120596782544;2020-06-22
109;50321.17588009915;2020-06-23
110;50433.43624352183;2020-06-24
111;50534.163466302474;2020-06-25
112;50624.50444691297;2020-06-26
113;50705.4995191332;2020-06-27
114;50778.090962767215;2020-06-28
115;50843.13091012854;2020-06-29
116;50901.38911885383;2020-06-30
117;50953.560015423725;2020-07-01
118;51000.26946641631;2020-07-02
119;51042.081031924514;2020-07-03
120;51079.50175647831;2020-07-04
121;51112.98751581092;2020-07-05
122;51142.94789526379;2020-07-06
123;51169.75072223325;2020-07-07
124;51193.72604661414;2020-07-08
125;51215.170015406744;2020-07-09
126;51234.34818145676;2020-07-10
127;51251.49854378215;2020-07-11
128;51266.83447411571;2020-07-12
129;51280.54697827657;2020-07-13
130;51292.80728472235;2020-07-14
131;51303.76855117925;2020-07-15
132;51313.56802177973;2020-07-16
133;51322.328447834254;2020-07-17
134;51330.15972490535;2020-07-18
135;51337.1601813111;2020-07-19
136;51343.41774667584;2020-07-20
137;51349.01115108857;2020-07-21
138;51354.01072285682;2020-07-22
139;51358.479456892914;2020-07-23
140;51362.473609047425;2020-07-24
141;51366.04354684007;2020-07-25
142;51369.23425978925;2020-07-26
143;51372.086001020565;2020-07-27
144;51374.63475252832;2020-07-28
145;51376.91267418686;2020-07-29
146;51378.94853816486;2020-07-30
147;51380.76803465513;2020-07-31
148;51382.394163155775;2020-08-01
149;51383.847448279215;2020-08-02
150;51385.146266296506;2020-08-03
151;51386.30702203046;2020-08-04
152;51387.344387380384;2020-08-05
153;51388.27147701976;2020-08-06
154;51389.100017733865;2020-08-07
155;51389.840484919914;2020-08-08
156;51390.50220593942;2020-08-09
157;51391.093557158994;2020-08-10
158;51391.62203786461;2020-08-11
159;51392.094333031615;2020-08-12
160;51392.51639957379;2020-08-13
161;51392.8936189962;2020-08-14
162;51393.23072869315;2020-08-15
163;51393.53199308048;2020-08-16
164;51393.80123473012;2020-08-17
165;51394.04183394144;2020-08-18
166;51394.25685976556;2020-08-19
167;51394.44901964105;2020-08-20
168;51394.620742844854;2020-08-21
169;51394.77421218159;2020-08-22
170;51394.91134337563;2020-08-23
171;51395.03389096839;2020-08-24
172;51395.14343657348;2020-08-25
173;51395.2413287759;2020-08-26
174;51395.32880894174;2020-08-27
175;51395.40700085256;2020-08-28
176;51395.476871996245;2020-08-29
177;51395.53930603766;2020-08-30
178;51395.595107492605;2020-08-31
179;51395.64497003347;2020-09-01
180;51395.6895245772;2020-09-02
181;51395.72934930472;2020-09-03
182;51395.76494052089;2020-09-04
183;51395.79674393329;2020-09-05
184;51395.825178644256;2020-09-06
185;51395.85057056753;2020-09-07
186;51395.87326586534;2020-09-08
187;51395.893549776316;2020-09-09
188;51395.91167420041;2020-09-10
189;51395.92786601377;2020-09-11
190;51395.94233713306;2020-09-12
191;51395.95527827284;2020-09-13
192;51395.96685527102;2020-09-14
193;51395.977210992154;2020-09-15
194;51395.98646770185;2020-09-16
195;51395.99472590545;2020-09-17
196;51396.002097042154;2020-09-18
197;51396.00868680533;2020-09-19
198;51396.0145736883;2020-09-20
199;51396.01982223329;2020-09-21
200;51396.02450548378;2020-09-22
201;51396.02869370642;2020-09-23
202;51396.03243943046;2020-09-24
203;51396.03584755934;2020-09-25
204;51396.03879850473;2020-09-26
205;51396.041463838126;2020-09-27
206;51396.043859032;2020-09-28
207;51396.04599963569;2020-09-29
208;51396.04791002488;2020-09-30
209;51396.04961546685;2020-10-01
210;51396.05113671633;2020-10-02
211;51396.05249452803;2020-10-03
212;51396.05370938284;2020-10-04
213;51396.05479304679;2020-10-05
214;51396.05575850145;2020-10-06
215;51396.05662184985;2020-10-07
216;51396.05739919505;2020-10-08
217;51396.05810555792;2020-10-09
218;51396.058739874155;2020-10-10
219;51396.05930609271;2020-10-11
220;51396.05981225244;2020-10-12
221;51396.06026639219;2020-10-13
222;51396.0607445663;2020-10-14
223;51396.0610727624;2020-10-15
224;51396.061376041034;2020-10-16
225;51396.0616544022;2020-10-17
226;51396.06190784589;2020-10-18
227;51396.06213691214;2020-10-19
228;51396.06234437266;2020-10-20
229;51396.06253061922;2020-10-21
230;51396.06269565183;2020-10-22
231;51396.06283947048;2020-10-23
232;51396.06296298736;2020-10-24
233;51396.063073700614;2020-10-25
234;51396.0631732718;2020-10-26
235;51396.06326170093;2020-10-27
236;51396.063338988;2020-10-28
237;51396.06340541977;2020-10-29
238;51396.06346522777;2020-10-30
239;51396.06351981736;2020-10-31
240;51396.06356918854;2020-11-01
241;51396.063613341306;2020-11-02
242;51396.063652319885;2020-11-03
243;51396.06368762763;2020-11-04
244;51396.06372000165;2020-11-05
245;51396.06374944191;2020-11-06
246;51396.063775948445;2020-11-07
247;51396.06379952492;2020-11-08
248;51396.063820798656;2020-11-09
249;51396.06384022862;2020-11-10
250;51396.06385781482;2020-11-11
251;51396.06387355725;2020-11-12
252;51396.063887455915;2020-11-13
253;51396.063899860565;2020-11-14
254;51396.06391116777;2020-11-15
255;51396.063921377914;2020-11-16
256;51396.06393049101;2020-11-17
257;51396.063938507046;2020-11-18
258;51396.063945601854;2020-11-19
259;51396.06395207722;2020-11-20
260;51396.06395793833;2020-11-21
261;51396.06396318518;2020-11-22
262;51396.063967817776;2020-11-23
263;51396.06397190976;2020-11-24
264;51396.06397564806;2020-11-25
265;51396.06397904184;2020-11-26
266;51396.06398209112;2020-11-27
267;51396.063984795874;2020-11-28
268;51396.06398841884;2020-11-29
269;51396.06399256596;2020-11-30
270;51396.063996503595;2020-12-01
271;51396.064000231745;2020-12-02
272;51396.0640037504;2020-12-03
273;51396.06400705956;2020-12-04
274;51396.064010159236;2020-12-05
275;51396.06401304942;2020-12-06
276;51396.06401573012;2020-12-07
277;51396.06401820132;2020-12-08
278;51396.06402046304;2020-12-09
279;51396.06402251526;2020-12-10
280;51396.064024358;2020-12-11
281;51396.06402599125;2020-12-12
282;51396.064027415;2020-12-13
283;51396.06402862927;2020-12-14
284;51396.06402963404;2020-12-15
285;51396.06403042933;2020-12-16
286;51396.06403101513;2020-12-17
287;51396.064031391434;2020-12-18
288;51396.06403155825;2020-12-19
289;51396.064031515576;2020-12-20
290;51396.06403126341;2020-12-21
291;51396.06403080176;2020-12-22
292;51396.06403013062;2020-12-23
293;51396.06402924999;2020-12-24
294;51396.06402815987;2020-12-25
295;51396.06402686025;2020-12-26
296;51396.06402535115;2020-12-27
297;51396.064024336316;2020-12-28
298;51396.06402483471;2020-12-29
299;51396.064025280524;2020-12-30
300;51396.06402567376;2020-12-31
301;51396.06402601443;2021-01-01
302;51396.06402630252;2021-01-02
303;51396.06402653803;2021-01-03
304;51396.06402672097;2021-01-04
305;51396.06402685133;2021-01-05
306;51396.06402692911;2021-01-06
307;51396.06402695432;2021-01-07
308;51396.06402692696;2021-01-08
309;51396.064026847016;2021-01-09
310;51396.0640267145;2021-01-10
311;51396.064026529406;2021-01-11
312;51396.064026291744;2021-01-12
313;51396.0640260015;2021-01-13
314;51396.06402565868;2021-01-14
315;51396.06402526329;2021-01-15
316;51396.064024815314;2021-01-16
317;51396.06402431477;2021-01-17
318;51396.064023761646;2021-01-18
319;51396.06402315595;2021-01-19
320;51396.06402249768;2021-01-20
321;51396.06402178683;2021-01-21
322;51396.064021023405;2021-01-22
323;51396.06402020741;2021-01-23
324;51396.06401933883;2021-01-24
325;51396.06401841768;2021-01-25
326;51396.064017443954;2021-01-26
327;51396.06401723186;2021-01-27
328;51396.06401699792;2021-01-28
329;51396.064016763994;2021-01-29
330;51396.06401653006;2021-01-30
331;51396.06401629613;2021-01-31
332;51396.06401606219;2021-02-01
333;51396.06401582826;2021-02-02
334;51396.064015594326;2021-02-03
335;51396.064015360396;2021-02-04
336;51396.06401512646;2021-02-05
337;51396.06401489253;2021-02-06
338;51396.064014658594;2021-02-07
339;51396.064014424664;2021-02-08
340;51396.06401419073;2021-02-09
341;51396.0640139568;2021-02-10
342;51396.06401372286;2021-02-11
343;51396.06401348893;2021-02-12
344;51396.064013255;2021-02-13
345;51396.06401302107;2021-02-14
346;51396.06401278714;2021-02-15
347;51396.0640125532;2021-02-16
348;51396.06401231927;2021-02-17
349;51396.064012085335;2021-02-18
350;51396.064011851406;2021-02-19
351;51396.06401161747;2021-02-20
352;51396.06401138354;2021-02-21
353;51396.0640111496;2021-02-22
354;51396.064010915674;2021-02-23
355;51396.06401068174;2021-02-24
356;51396.06401059747;2021-02-25
357;51396.064010590584;2021-02-26
358;51396.064010583694;2021-02-27
359;51396.06401057681;2021-02-28
360;51396.06401056992;2021-03-01
361;51396.06401056303;2021-03-02
362;51396.06401055615;2021-03-03
363;51396.06401054926;2021-03-04
364;51396.06401054237;2021-03-05
365;51396.06401053548;2021-03-06
366;51396.06401052859;2021-03-07
367;51396.06401052171;2021-03-08
368;51396.06401051482;2021-03-09
369;51396.06401050794;2021-03-10
370;51396.064010501046;2021-03-11
371;51396.06401049416;2021-03-12
372;51396.06401048727;2021-03-13
373;51396.06401048038;2021-03-14
374;51396.0640104735;2021-03-15
375;51396.06401046661;2021-03-16
376;51396.064010459726;2021-03-17
377;51396.064010452836;2021-03-18
378;51396.064010445945;2021-03-19
379;51396.06401043906;2021-03-20
380;51396.06401043217;2021-03-21
381;51396.06401042529;2021-03-22
382;51396.0640104184;2021-03-23
