;Cases;date
0;3.0;2020-03-13
1;3.8509811441124504;2020-03-14
2;4.872310327466273;2020-03-15
3;6.085561823506028;2020-03-16
4;7.513632966379287;2020-03-17
5;9.180747418730583;2020-03-18
6;11.112457900021113;2020-03-19
7;13.335648467529245;2020-03-20
8;15.878536217842958;2020-03-21
9;18.770673021778084;2020-03-22
10;22.042945961401045;2020-03-23
11;25.727577922823492;2020-03-24
12;29.85812744273302;2020-03-25
13;34.46948800667231;2020-03-26
14;39.59788669308111;2020-03-27
15;45.28088261552015;2020-03-28
16;51.55736409369741;2020-03-29
17;58.46754530835125;2020-03-30
18;66.05296289145603;2020-03-31
19;74.35647094546863;2020-04-01
20;83.42223584996535;2020-04-02
21;93.29572984876611;2020-04-03
22;104.02372398162426;2020-04-04
23;115.6542800551814;2020-04-05
24;128.236741731733;2020-04-06
25;141.82172445629251;2020-04-07
26;156.46110442302646;2020-04-08
27;172.208006543524;2020-04-09
28;189.1167914426215;2020-04-10
29;207.24304014709995;2020-04-11
30;226.64353939325187;2020-04-12
31;247.3762639339236;2020-04-13
32;269.5003582598451;2020-04-14
33;293.07611742998097;2020-04-15
34;318.16496479359836;2020-04-16
35;344.8294304494896;2020-04-17
36;373.13312614023044;2020-04-18
37;403.14071957916775;2020-04-19
38;434.917907422178;2020-04-20
39;468.5313849655162;2020-04-21
40;504.0488163519231;2020-04-22
41;541.5388008552374;2020-04-23
42;581.0708385333728;2020-04-24
43;622.7152939153982;2020-04-25
44;666.5433564651247;2020-04-26
45;712.6270019381943;2020-04-27
46;761.0389493845565;2020-04-28
47;811.8526139142184;2020-04-29
48;865.1420633104277;2020-04-30
49;920.9819687432921;2020-05-01
50;979.4475514283331;2020-05-02
51;1040.6145318612923;2020-05-03
52;1104.559074488995;2020-05-04
53;1171.3577281473995;2020-05-05
54;1241.0873677901557;2020-05-06
55;1313.8251327707076;2020-05-07
56;1389.6483611337148;2020-05-08
57;1468.6345237489763;2020-05-09
58;1550.8611559285687;2020-05-10
59;1636.40578580142;2020-05-11
60;1725.3458611181;2020-05-12
61;1817.758673941117;2020-05-13
62;1913.7212831920053;2020-05-14
63;2013.3104348605057;2020-05-15
64;2116.6024796078163;2020-05-16
65;2223.6732906970824;2020-05-17
66;2334.5981784186465;2020-05-18
67;2449.451798526682;2020-05-19
68;2568.308063063711;2020-05-20
69;2691.240047623581;2020-05-21
70;2818.3199110079627;2020-05-22
71;2949.6187965897957;2020-05-23
72;3085.206722334144;2020-05-24
73;3225.152487807302;2020-05-25
74;3369.52357304378;2020-05-26
75;3518.3860622696066;2020-05-27
76;3671.804533637618;2020-05-28
77;3829.8419441456344;2020-05-29
78;3992.559533680236;2020-05-30
79;4160.016729964391;2020-05-31
80;4332.271038094982;2020-06-01
81;4509.377932180682;2020-06-02
82;4691.390752801614;2020-06-03
83;4878.360635475996;2020-06-04
84;5070.336379988905;2020-06-05
85;5267.364343878986;2020-06-06
86;5469.488346949422;2020-06-07
87;5676.74960049431;2020-06-08
88;5889.186576898996;2020-06-09
89;6106.834912149938;2020-06-10
90;6329.727316927211;2020-06-11
91;6557.893516489351;2020-06-12
92;6791.360117806911;2020-06-13
93;7030.150525205371;2020-06-14
94;7274.284864300872;2020-06-15
95;7523.779932584488;2020-06-16
96;7778.64907106175;2020-06-17
97;8038.902096834731;2020-06-18
98;8304.545244196299;2020-06-19
99;8575.581124467932;2020-06-20
100;8852.00861128647;2020-06-21
101;9133.822793149062;2020-06-22
102;9421.014940519968;2020-06-23
103;9713.57247229095;2020-06-24
104;10011.478856070113;2020-06-25
105;10314.71358610717;2020-06-26
106;10623.252144659757;2020-06-27
107;10937.06599897736;2020-06-28
108;11256.122609037135;2020-06-29
109;11580.385347669599;2020-06-30
110;11909.81352089208;2020-07-01
111;12244.362370664012;2020-07-02
112;12583.983051606163;2020-07-03
113;12928.622599646267;2020-07-04
114;13278.22403496248;2020-07-05
115;13632.726356068564;2020-07-06
116;13992.064572981099;2020-07-07
117;14356.169718741694;2020-07-08
118;14724.968842376724;2020-07-09
119;15098.385148777135;2020-07-10
120;15476.338023618078;2020-07-11
121;15858.743096355327;2020-07-12
122;16245.512295732806;2020-07-13
123;16636.553891071675;2020-07-14
124;17031.772630349515;2020-07-15
125;17431.069810143024;2020-07-16
126;17834.34337009946;2020-07-17
127;18241.48798095036;2020-07-18
128;18652.39511273316;2020-07-19
129;19066.953202620494;2020-07-20
130;19485.047754104373;2020-07-21
131;19906.56145819382;2020-07-22
132;20331.37430940552;2020-07-23
133;20759.363696587166;2020-07-24
134;21190.404594458043;2020-07-25
135;21624.36968658583;2020-07-26
136;22061.129507014153;2020-07-27
137;22500.552577846975;2020-07-28
138;22942.505518319147;2020-07-29
139;23386.853249153126;2020-07-30
140;23833.459133096658;2020-07-31
141;24282.185128727786;2020-08-01
142;24732.891941324644;2020-08-02
143;25185.439144801396;2020-08-03
144;25639.685391519626;2020-08-04
145;26095.48855973125;2020-08-05
146;26552.705911018988;2020-08-06
147;27011.194251414578;2020-08-07
148;27470.810085908262;2020-08-08
149;27931.40974792437;2020-08-09
150;28392.849593056657;2020-08-10
151;28854.986142896807;2020-08-11
152;29317.676232571874;2020-08-12
153;29780.77715752283;2020-08-13
154;30244.146832150567;2020-08-14
155;30707.644008533287;2020-08-15
156;31171.12832007328;2020-08-16
157;31634.460442813666;2020-08-17
158;32097.502236373886;2020-08-18
159;32560.116872148363;2020-08-19
160;33022.16897252954;2020-08-20
161;33483.524816474914;2020-08-21
162;33944.052352218816;2020-08-22
163;34403.62133644425;2020-08-23
164;34862.1034523258;2020-08-24
165;35319.372413024816;2020-08-25
166;35775.30407112551;2020-08-26
167;36229.776577752426;2020-08-27
168;36682.67039366028;2020-08-28
169;37133.86839320006;2020-08-29
170;37583.25595205498;2020-08-30
171;38030.72102227199;2020-08-31
172;38476.15420632322;2020-09-01
173;38919.448849611246;2020-09-02
174;39360.501066545;2020-09-03
175;39799.209802482306;2020-09-04
176;40235.47688620527;2020-09-05
177;40669.207073805446;2020-09-06
178;41100.30808895331;2020-09-07
179;41528.6906675149;2020-09-08
180;41954.268573169924;2020-09-09
181;42376.9586239692;2020-09-10
182;42796.680712664944;2020-09-11
183;43213.35782100273;2020-09-12
184;43626.91602876408;2020-09-13
185;44037.284514835905;2020-09-14
186;44444.39556233438;2020-09-15
187;44848.1845540035;2020-09-16
188;45248.589964010964;2020-09-17
189;45645.55334643761;2020-09-18
190;46039.019317845756;2020-09-19
191;46428.93552235876;2020-09-20
192;46815.252626739115;2020-09-21
193;47197.92429069706;2020-09-22
194;47576.90713545501;2020-09-23
195;47952.16071156761;2020-09-24
196;48323.64746026836;2020-09-25
197;48691.33264841136;2020-09-26
198;49055.184361845655;2020-09-27
199;49415.173456156495;2020-09-28
200;49771.27350814238;2020-09-29
201;50123.46076960221;2020-09-30
202;50471.714119954246;2020-10-01
203;50816.01500124666;2020-10-02
204;51156.34731194379;2020-10-03
205;51492.69743776479;2020-10-04
206;51825.05416991193;2020-10-05
207;52153.40864406025;2020-10-06
208;52477.75428345783;2020-10-07
209;52798.08674179106;2020-10-08
210;53114.403825542555;2020-10-09
211;53426.70540539944;2020-10-10
212;53734.993418171245;2020-10-11
213;54039.271781280426;2020-10-12
214;54339.54633075309;2020-10-13
215;54635.82476086376;2020-10-14
216;54928.11656432056;2020-10-15
217;55216.432945504246;2020-10-16
218;55500.7867510784;2020-10-17
219;55781.19245517006;2020-10-18
220;56057.66607648076;2020-10-19
221;56330.22511809954;2020-10-20
222;56598.88850823688;2020-10-21
223;56863.6765417778;2020-10-22
224;57124.61080232713;2020-10-23
225;57381.71411250474;2020-10-24
226;57635.010492015586;2020-10-25
227;57884.525091713724;2020-10-26
228;58130.28413819706;2020-10-27
229;58372.314879456826;2020-10-28
230;58610.64553130147;2020-10-29
231;58845.305214779306;2020-10-30
232;59076.32391273643;2020-10-31
233;59303.73242180333;2020-11-01
234;59527.56229985215;2020-11-02
235;59747.845817564026;2020-11-03
236;59964.61591113501;2020-11-04
237;60177.90613614554;2020-11-05
238;60387.75062276425;2020-11-06
239;60594.18403169913;2020-11-07
240;60797.24151151786;2020-11-08
241;60996.958657126204;2020-11-09
242;61193.371469326776;2020-11-10
243;61386.516315474466;2020-11-11
244;61576.42989280284;2020-11-12
245;61763.149200000946;2020-11-13
246;61946.71149032427;2020-11-14
247;62127.15423987081;2020-11-15
248;62304.51511531859;2020-11-16
249;62478.83194171124;2020-11-17
