;Cases;date
0;1.0;2020-03-20
1;2.0038672467159873;2020-03-21
2;3.366460095530185;2020-03-22
3;5.093285766765286;2020-03-23
4;7.188780165423836;2020-03-24
5;9.656665231246354;2020-03-25
6;12.500151275780421;2020-03-26
7;15.72206279281408;2020-03-27
8;19.324922342451362;2020-03-28
9;23.311009541271662;2020-03-29
10;27.68240388952559;2020-03-30
11;32.44101707184726;2020-03-31
12;37.58861788663988;2020-04-01
13;43.12685172079152;2020-04-02
14;49.057256435523804;2020-04-03
15;55.38127518293272;2020-04-04
16;62.10026696777317;2020-04-05
17;69.21551550205268;2020-04-06
18;76.72823668091505;2020-04-07
19;84.63958495508918;2020-04-08
20;92.950658885673;2020-04-09
21;101.66250558946633;2020-04-10
22;110.77612524672097;2020-04-11
23;120.29247440192194;2020-04-12
24;130.21246946425595;2020-04-13
25;140.53698922365103;2020-04-14
26;151.2668776551152;2020-04-15
27;162.40294590583997;2020-04-16
28;173.94597455466302;2020-04-17
29;185.89671524459106;2020-04-18
30;198.25589247573785;2020-04-19
31;211.0242050051859;2020-04-20
32;224.20232727314533;2020-04-21
33;237.79091070345524;2020-04-22
34;251.79058469908242;2020-04-23
35;266.2019574902111;2020-04-24
36;281.0256177064033;2020-04-25
37;296.26213490999584;2020-04-26
38;311.91206010831456;2020-04-27
39;327.9759271255622;2020-04-28
40;344.45425300684514;2020-04-29
41;361.3475384560956;2020-04-30
42;378.6562688641156;2020-05-01
43;396.38091466571603;2020-05-02
44;414.52193173990526;2020-05-03
45;433.079762193654;2020-05-04
46;452.05483467149696;2020-05-05
47;471.44756471022515;2020-05-06
48;491.25835534678504;2020-05-07
49;511.48759738980146;2020-05-08
50;532.1356697315596;2020-05-09
51;553.2029398319924;2020-05-10
52;574.6897639551335;2020-05-11
53;596.5964874503615;2020-05-12
54;618.9234452235963;2020-05-13
55;641.670961803959;2020-05-14
56;664.8393515699295;2020-05-15
57;688.4289189791369;2020-05-16
58;712.4399588844466;2020-05-17
59;736.8727573248957;2020-05-18
60;761.7275909289807;2020-05-19
61;787.0047272738498;2020-05-20
62;812.7044250892836;2020-05-21
63;838.8269346132336;2020-05-22
64;865.3724980862883;2020-05-23
65;892.3413492671715;2020-05-24
66;919.7337138015373;2020-05-25
67;947.5498093596415;2020-05-26
68;975.7898459866004;2020-05-27
69;1004.4540262645789;2020-05-28
70;1033.5425451369135;2020-05-29
71;1063.0555901608777;2020-05-30
72;1092.993341616531;2020-05-31
73;1123.355972828296;2020-06-01
74;1154.1436501462488;2020-06-02
75;1185.3565329556816;2020-06-03
76;1216.9947738376384;2020-06-04
77;1249.0585186710255;2020-06-05
78;1281.5479068871607;2020-06-06
79;1314.4630713991096;2020-06-07
80;1347.804138687507;2020-06-08
81;1381.5712289071707;2020-06-09
82;1415.7644559866042;2020-06-10
83;1450.3839278138364;2020-06-11
84;1485.4297461686344;2020-06-12
85;1520.9020068276789;2020-06-13
86;1556.8007996412116;2020-06-14
87;1593.1262086679635;2020-06-15
88;1629.8783123149888;2020-06-16
89;1667.0571831720074;2020-06-17
90;1704.6628881642655;2020-06-18
91;1742.6954886091767;2020-06-19
92;1781.1550402647777;2020-06-20
93;1820.0415933744714;2020-06-21
94;1859.3551927092396;2020-06-22
95;1899.095878076143;2020-06-23
96;1939.2636841154806;2020-06-24
97;1979.8586399506607;2020-06-25
98;2020.8807694962625;2020-06-26
99;2062.3300914984284;2020-06-27
100;2104.2066195725365;2020-06-28
101;2146.510362238165;2020-06-29
102;2189.24132298488;2020-06-30
103;2232.3995007853873;2020-07-01
104;2275.9848895634373;2020-07-02
105;2319.9974782465224;2020-07-03
106;2364.437250917955;2020-07-04
107;2409.3041868505256;2020-07-05
108;2454.598260538266;2020-07-06
109;2500.3194417263153;2020-07-07
110;2546.467695514681;2020-07-08
111;2593.042982644323;2020-07-09
112;2640.0452590727355;2020-07-10
113;2687.474476150217;2020-07-11
114;2735.3305806775825;2020-07-12
115;2783.6135149344846;2020-07-13
116;2832.3232167063693;2020-07-14
117;2881.459619310064;2020-07-15
118;2931.022651733785;2020-07-16
119;2981.0122387130655;2020-07-17
120;3031.428300500257;2020-07-18
121;3082.2707530152265;2020-07-19
122;3133.5395078727183;2020-07-20
123;3185.2344724066343;2020-07-21
124;3237.355549693315;2020-07-22
125;3289.9026385757184;2020-07-23
126;3342.875633818206;2020-07-24
127;3396.2744260247728;2020-07-25
128;3450.0989015997734;2020-07-26
129;3504.3489428265266;2020-07-27
130;3559.024427889133;2020-07-28
131;3614.12523089354;2020-07-29
132;3669.6512218878615;2020-07-30
133;3725.6022668938817;2020-07-31
134;3781.9782280308173;2020-08-01
135;3838.7789633954008;2020-08-02
136;3896.004327103546;2020-08-03
137;3953.6541693297613;2020-08-04
138;4011.7283363262736;2020-08-05
