;Cases;date
0;1.0;2020-03-19
1;1.4428053359921234;2020-03-20
2;2.038489035082557;2020-03-21
3;2.8267516298441904;2020-03-22
4;3.8546008348545726;2020-03-23
5;5.177204575458238;2020-03-24
6;6.858792136752823;2020-03-25
7;8.973603283438266;2020-03-26
8;11.60688566711722;2020-03-27
9;14.855940785086888;2020-03-28
10;18.831217024615153;2020-03-29
11;23.65745205272792;2020-03-30
12;29.474862487770235;2020-03-31
13;36.44038176094435;2020-04-01
14;44.7289456458274;2020-04-02
15;54.53482530846924;2020-04-03
16;66.07300758865044;2020-04-04
17;79.58062214556217;2020-04-05
18;95.31841501682877;2020-04-06
19;113.57226806207474;2020-04-07
20;134.65476358128373;2020-04-08
21;158.90679368928278;2020-04-09
22;186.69921278010062;2020-04-10
23;218.43453295647484;2020-04-11
24;254.54866069284938;2020-04-12
25;295.5126731148407;2020-04-13
26;341.8346329437768;2020-04-14
27;394.06143992361797;2020-04-15
28;452.78071627069863;2020-04-16
29;518.6227241770976;2020-04-17
30;592.2623120153204;2020-04-18
31;674.4208912022806;2020-04-19
32;765.8684266667234;2020-04-20
33;867.4254585009778;2020-04-21
34;979.9651241327418;2020-04-22
35;1104.4152085276778;2020-04-23
36;1241.7601794121201;2020-04-24
37;1393.0432407190713;2020-04-25
38;1559.3683647585804;2020-04-26
39;1741.9023163037612;2020-04-27
40;1941.876660287829;2020-04-28
41;2160.5897220669026;2020-04-29
42;2399.4085380433967;2020-04-30
43;2659.7707182335594;2020-05-01
44;2943.18629411662;2020-05-02
45;3251.239451335928;2020-05-03
46;3585.5902136662517;2020-05-04
47;3947.9760123509996;2020-05-05
48;4340.2131375586805;2020-05-06
49;4764.198098713737;2020-05-07
50;5221.908795237672;2020-05-08
51;5715.405532736607;2020-05-09
52;6246.831902123663;2020-05-10
53;6818.415421891404;2020-05-11
54;7432.467966266776;2020-05-12
55;8091.385967259242;2020-05-13
56;8797.650330704335;2020-05-14
57;9553.826076396199;2020-05-15
58;10362.561669084398;2020-05-16
59;11226.588004020952;2020-05-17
60;12148.717038849903;2020-05-18
61;13131.840019402414;2020-05-19
62;14178.925308299884;2020-05-20
63;15293.01574815873;2020-05-21
64;16477.225570257066;2020-05-22
65;17734.73678985055;2020-05-23
66;19068.795091970023;2020-05-24
67;20482.70514406064;2020-05-25
68;21979.825338738876;2020-05-26
69;23563.561938080555;2020-05-27
70;25237.362607633724;2020-05-28
71;27004.70925670524;2020-05-29
72;28869.110277701562;2020-05-30
73;30834.09209165161;2020-05-31
74;32903.18992514351;2020-06-01
75;35079.9380759679;2020-06-02
76;37367.859264657185;2020-06-03
77;39770.453395679164;2020-06-04
78;42291.18575976798;2020-06-05
79;44933.474197521515;2020-06-06
80;47700.67605411312;2020-06-07
81;50596.074202865995;2020-06-08
82;53622.86243261772;2020-06-09
83;56784.13074254933;2020-06-10
84;60082.849438971534;2020-06-11
85;63521.85336036676;2020-06-12
86;67103.82562521627;2020-06-13
87;70831.28062512541;2020-06-14
88;74706.54764989496;2020-06-15
89;78731.75356742604;2020-06-16
90;82908.80584737194;2020-06-17
91;87239.37605025627;2020-06-18
92;91724.88261299564;2020-06-19
93;96366.47502619118;2020-06-20
94;101165.01774618532;2020-06-21
95;106121.07460257172;2020-06-22
96;111234.8947707221;2020-06-23
97;116506.39931744794;2020-06-24
98;121935.16839452897;2020-06-25
99;127520.42977970534;2020-06-26
100;133261.04842730254;2020-06-27
101;139155.51871855956;2020-06-28
102;145201.95710802564;2020-06-29
103;151398.09589346536;2020-06-30
104;157741.28093273556;2020-07-01
105;164228.46981858605;2020-07-02
106;170856.23126856386;2020-07-03
107;177620.74864637398;2020-07-04
108;184517.824544711;2020-07-05
109;191542.88661536953;2020-07-06
110;198690.9971954076;2020-07-07
111;205956.8645917482;2020-07-08
112;213334.8555647492;2020-07-09
113;220819.01097892862;2020-07-10
114;228403.0634876234;2020-07-11
115;236080.45626419314;2020-07-12
116;243844.36405964024;2020-07-13
117;251687.7163395855;2020-07-14
118;259603.22130941643;2020-07-15
119;267583.39139775926;2020-07-16
120;275620.5702395153;2020-07-17
121;283706.9604243912;2020-07-18
122;291834.652187587;2020-07-19
123;299995.6521291864;2020-07-20
124;308181.9124930092;2020-07-21
125;316385.3616364076;2020-07-22
126;324597.9333860575;2020-07-23
127;332811.5949709925;2020-07-24
128;341018.37566226267;2020-07-25
129;349210.39725619694;2020-07-26
130;357379.8989113387;2020-07-27
131;365519.2621835779;2020-07-28
132;373621.0361698085;2020-07-29
133;381677.9639124068;2020-07-30
134;389683.00005447736;2020-07-31
135;397629.33107853745;2020-08-01
136;405510.3949854836;2020-08-02
137;413319.89923600893;2020-08-03
138;421051.8319127701;2020-08-04
139;428700.47507876594;2020-08-05
140;436260.417432027;2020-08-06
141;443726.56229951396;2020-08-07
142;451094.13347893476;2020-08-08
143;458358.68073830334;2020-08-09
144;465516.08406313334;2020-08-10
145;472562.55432417756;2020-08-11
146;479494.6332545088;2020-08-12
147;486309.1917631818;2020-08-13
