;Cases;date
0;3.0;2020-03-20
1;3.4821540083942555;2020-03-21
2;4.031088669910152;2020-03-22
3;4.654624351884892;2020-03-23
4;5.361335982658546;2020-03-24
5;6.160610558268847;2020-03-25
6;7.062708241626881;2020-03-26
7;8.07882666150351;2020-03-27
8;9.221169058257393;2020-03-28
9;10.503015765597802;2020-03-29
10;11.93879961434129;2020-03-30
11;13.544185301878363;2020-03-31
12;15.33615273380573;2020-04-01
13;17.33308458591196;2020-04-02
14;19.554858070431088;2020-04-03
15;22.02294129178485;2020-04-04
16;24.76049394309731;2020-04-05
17;27.792472961489743;2020-04-06
18;31.145742690731833;2020-04-07
19;34.84919015154842;2020-04-08
20;38.93384535673065;2020-04-09
21;43.43300661625619;2020-04-10
22;48.38237136063802;2020-04-11
23;53.82017210889419;2020-04-12
24;59.787318016447784;2020-04-13
25;66.32754206129532;2020-04-14
26;73.48755337185405;2020-04-15
27;81.31719628104763;2020-04-16
28;89.86961393424974;2020-04-17
29;99.20141877685953;2020-04-18
30;109.37286800504106;2020-04-19
31;120.4480456092234;2020-04-20
32;132.4950496970634;2020-04-21
33;145.5861860600002;2020-04-22
34;159.79816731419365;2020-04-23
35;175.21231769373938;2020-04-24
36;191.9147837814566;2020-04-25
37;209.99675008210258;2020-04-26
38;229.5546607365477;2020-04-27
39;250.6904448948331;2020-04-28
40;273.5117501724853;2020-04-29
41;298.1321759927832;2020-04-30
42;324.67151345963947;2020-05-01
43;353.25599302126966;2020-05-02
44;384.0185243392444;2020-05-03
45;417.0989534951622;2020-05-04
46;452.6443122232326;2020-05-05
47;490.80906687246693;2020-05-06
48;531.7553845594081;2020-05-07
49;575.6533728570002;2020-05-08
50;622.6813440489492;2020-05-09
51;673.0260672120664;2020-05-10
52;726.8830015896101;2020-05-11
53;784.4565646014123;2020-05-12
54;845.9603474634591;2020-05-13
55;911.6173565038616;2020-05-14
56;981.660247676224;2020-05-15
57;1056.3315085549264;2020-05-16
58;1135.8836793655914;2020-05-17
59;1220.5795304899932;2020-05-18
60;1310.6922423902083;2020-05-19
61;1406.5055355413485;2020-05-20
62;1508.3138127336497;2020-05-21
63;1616.42225309791;2020-05-22
64;1731.1468948857423;2020-05-23
65;1852.8146790730343;2020-05-24
66;1981.7634602952642;2020-05-25
67;2118.341991981895;2020-05-26
68;2262.909846830615;2020-05-27
69;2415.837332982448;2020-05-28
70;2577.505311016595;2020-05-29
71;2748.3050214565083;2020-05-30
72;2928.6377864554993;2020-05-31
73;3118.914734188925;2020-06-01
74;3319.5563875259922;2020-06-02
75;3530.9922042278204;2020-06-03
76;3753.6600660293107;2020-06-04
77;3988.0057011279687;2020-06-05
78;4234.481975337868;2020-06-06
79;4493.548146572553;2020-06-07
80;4765.669021248277;2020-06-08
81;5051.314000125012;2020-06-09
82;5350.956056136893;2020-06-10
83;5665.070594789038;2020-06-11
84;5994.134229671826;2020-06-12
85;6338.623453893013;2020-06-13
86;6699.013195153508;2020-06-14
87;7075.775296064944;2020-06-15
88;7469.376856616998;2020-06-16
89;7880.278499970927;2020-06-17
90;8308.932539925527;2020-06-18
91;8755.781014191587;2020-06-19
92;9221.253694520707;2020-06-20
93;9705.765921224807;2020-06-21
94;10209.716393035056;2020-06-22
95;10733.484975920015;2020-06-23
96;11277.430261222125;2020-06-24
97;11841.887195272853;2020-06-25
98;12427.16471506405;2020-06-26
99;13033.54315878656;2020-06-27
100;13661.271855132789;2020-06-28
101;14310.566679550286;2020-06-29
102;14981.60747278258;2020-06-30
103;15674.535728269526;2020-07-01
104;16389.452203362915;2020-07-02
105;17126.41454907842;2020-07-03
106;17885.435242234256;2020-07-04
107;18666.4794508226;2020-07-05
108;19469.46307750348;2020-07-06
109;20294.251104342038;2020-07-07
110;21140.655948464286;2020-07-08
111;22008.436112336698;2020-07-09
112;22897.29511207667;2020-07-10
113;23806.88057056222;2020-07-11
114;24736.78362593819;2020-07-12
115;25686.538621992328;2020-07-13
116;26655.623152211363;2020-07-14
117;27643.458369240547;2020-07-15
118;28649.40948228621;2020-07-16
119;29672.786947912973;2020-07-17
120;30712.84781125335;2020-07-18
121;31768.79700999258;2020-07-19
122;32839.78965837214;2020-07-20
