;Cases;date
0;6.0;2020-03-12
1;8.816364633639656;2020-03-13
2;12.348304981904205;2020-03-14
3;16.66179937283792;2020-03-15
4;21.820600277345548;2020-03-16
5;27.88653109432093;2020-03-17
6;34.919722441538575;2020-03-18
7;42.978796091019674;2020-03-19
8;52.12101818869707;2020-03-20
9;62.402429957261496;2020-03-21
10;73.87795119639591;2020-03-22
11;86.60147344962581;2020-03-23
12;100.62593796186192;2020-03-24
13;116.00340426839442;2020-03-25
14;132.7851101501363;2020-03-26
15;151.02152379685398;2020-03-27
16;170.76239141775125;2020-03-28
17;192.05677830370774;2020-03-29
18;214.9531069519952;2020-03-30
19;239.49919049183623;2020-03-31
20;265.74226308423727;2020-04-01
21;293.7290079855579;2020-04-02
22;323.50558263047554;2020-04-03
23;355.11764168799886;2020-04-04
24;388.61035845976426;2020-04-05
25;424.0284445109321;2020-04-06
26;461.41616656271214;2020-04-07
27;500.8173641973774;2020-04-08
28;542.2754652516153;2020-04-09
29;585.8334988887657;2020-04-10
30;631.5341106613233;2020-04-11
31;679.4195728050706;2020-04-12
32;729.5317975444549;2020-04-13
33;781.9123463625385;2020-04-14
34;836.6024410708181;2020-04-15
35;893.6429726341705;2020-04-16
36;953.0745101187518;2020-04-17
37;1014.9373091500894;2020-04-18
38;1079.2713192189415;2020-04-19
39;1146.116191606786;2020-04-20
40;1215.5112856730398;2020-04-21
41;1287.4956762106276;2020-04-22
42;1362.1081582189697;2020-04-23
43;1439.3872523635018;2020-04-24
44;1519.3712127251931;2020-04-25
45;1602.0980311116907;2020-04-26
46;1687.6054400022977;2020-04-27
47;1775.930918217589;2020-04-28
48;1867.1116974140787;2020-04-29
49;1961.1847631507233;2020-04-30
50;2058.1868592475957;2020-05-01
51;2158.1544931254584;2020-05-02
52;2261.123938312283;2020-05-03
53;2367.131236943478;2020-05-04
54;2476.212203586452;2020-05-05
55;2588.4024291771957;2020-05-06
56;2703.7372821500126;2020-05-07
57;2822.2519114519746;2020-05-08
58;2943.9812500486833;2020-05-09
59;3068.960016500357;2020-05-10
60;3197.2227169300368;2020-05-11
61;3328.803647615491;2020-05-12
62;3463.7368973923312;2020-05-13
63;3602.056348653575;2020-05-14
64;3743.795679465541;2020-05-15
65;3888.988366331968;2020-05-16
66;4037.6676843126706;2020-05-17
67;4189.866708539408;2020-05-18
68;4345.61831559183;2020-05-19
69;4504.955184660527;2020-05-20
70;4667.909802135188;2020-05-21
71;4834.514460283875;2020-05-22
72;5004.80125693829;2020-05-23
73;5178.802097444494;2020-05-24
74;5356.548695431062;2020-05-25
75;5538.072575484256;2020-05-26
76;5723.405074475569;2020-05-27
77;5912.577339141783;2020-05-28
78;6105.620328143916;2020-05-29
79;6302.564812608066;2020-05-30
80;6503.441377312659;2020-05-31
81;6708.280422985024;2020-06-01
82;6917.112163787317;2020-06-02
83;7129.966628682548;2020-06-03
84;7346.873661877979;2020-06-04
85;7567.862923307201;2020-06-05
86;7792.96389071774;2020-06-06
87;8022.205857901012;2020-06-07
88;8255.617935134558;2020-06-08
89;8493.229049613316;2020-06-09
90;8735.067945586472;2020-06-10
91;8981.163185701565;2020-06-11
92;9231.543150297344;2020-06-12
93;9486.236036956016;2020-06-13
94;9745.26986091599;2020-06-14
95;10008.672455044012;2020-06-15
96;10276.471470421504;2020-06-16
97;10548.69437653722;2020-06-17
98;10825.368460126301;2020-06-18
99;11106.520825553938;2020-06-19
100;11392.178394673272;2020-06-20
101;11682.367907131713;2020-06-21
102;11977.115921235152;2020-06-22
103;12276.448811491688;2020-06-23
104;12580.392769197868;2020-06-24
105;12888.973802249046;2020-06-25
106;13202.217734825244;2020-06-26
107;13520.150207043609;2020-06-27
108;13842.796674577483;2020-06-28
109;14170.18241017425;2020-06-29
110;14502.332505912525;2020-06-30
111;14839.271865993014;2020-07-01
112;15181.02520919728;2020-07-02
113;15527.61706865186;2020-07-03
114;15879.071791391796;2020-07-04
115;16235.413537898357;2020-07-05
116;16596.666281610946;2020-07-06
117;16962.85381044541;2020-07-07
118;17333.999727805287;2020-07-08
119;17710.127446665403;2020-07-09
120;18091.260191592686;2020-07-10
121;18477.42099832293;2020-07-11
122;18868.63271324316;2020-07-12
123;19264.917992854706;2020-07-13
124;19666.29930321695;2020-07-14
125;20072.798921239108;2020-07-15
126;20484.438934563488;2020-07-16
127;20901.24123734804;2020-07-17
128;21323.22753158197;2020-07-18
129;21750.419326543666;2020-07-19
130;22182.837938225028;2020-07-20
131;22620.504488741564;2020-07-21
132;23063.439905728188;2020-07-22
133;23511.66492353657;2020-07-23
134;23965.2000823186;2020-07-24
135;24424.06572494989;2020-07-25
136;24888.281997852948;2020-07-26
137;25357.868850397834;2020-07-27
138;25832.846034291582;2020-07-28
139;26313.233102957434;2020-07-29
140;26799.049410906853;2020-07-30
141;27290.314114797995;2020-07-31
142;27787.046171961465;2020-08-01
143;28289.264338281402;2020-08-02
144;28796.98716858013;2020-08-03
145;29310.23301599717;2020-08-04
146;29829.0200313614;2020-08-05
147;30353.36616255634;2020-08-06
148;30883.289153770922;2020-08-07
149;31418.80654703302;2020-08-08
150;31959.93567937474;2020-08-09
151;32506.693682173714;2020-08-10
152;33059.09748098441;2020-08-11
153;33617.16379491923;2020-08-12
154;34180.90913602387;2020-08-13
155;34750.349808647254;2020-08-14
156;35325.50190886463;2020-08-15
157;35906.381326034854;2020-08-16
158;36493.00373981065;2020-08-17
159;37085.38461899536;2020-08-18
160;37683.53922179905;2020-08-19
161;38287.482595222056;2020-08-20
162;38897.22957443835;2020-08-21
163;39512.79478217899;2020-08-22
164;40134.19262811631;2020-08-23
165;40761.437308249006;2020-08-24
166;41394.542804288874;2020-08-25
167;42033.52288304937;2020-08-26
168;42678.391096587446;2020-08-27
169;43329.160785379456;2020-08-28
170;43985.845071157055;2020-08-29
171;44648.45685825631;2020-08-30
172;45317.00883371427;2020-08-31
173;45991.513466750555;2020-09-01
174;46671.98300825886;2020-09-02
175;47358.42949030898;2020-09-03
176;48050.864725659965;2020-09-04
177;48749.300307284844;2020-09-05
178;49453.747607907775;2020-09-06
179;50164.21777955394;2020-09-07
180;50880.72175080723;2020-09-08
181;51603.27022501007;2020-09-09
182;52331.87368626951;2020-09-10
183;53066.54239579407;2020-09-11
184;53807.286391339614;2020-09-12
185;54554.11548676537;2020-09-13
186;55307.0392716013;2020-09-14
187;56066.06711062729;2020-09-15
188;56831.208143464464;2020-09-16
189;57602.4712841791;2020-09-17
190;58379.86522089963;2020-09-18
191;59163.39841538757;2020-09-19
192;59953.07909792597;2020-09-20
193;60748.91527131429;2020-09-21
194;61550.91471267414;2020-09-22
195;62359.08497075213;2020-09-23
196;63173.43336553581;2020-09-24
197;63993.96698787945;2020-09-25
198;64820.692699139836;2020-09-26
199;65653.6171308225;2020-09-27
200;66492.74668423842;2020-09-28
201;67338.08753017147;2020-09-29
202;68189.64560855702;2020-09-30
203;69047.42662798139;2020-10-01
204;69911.43606403997;2020-10-02
205;70781.67916117245;2020-10-03
206;71658.16093188229;2020-10-04
207;72540.88615618659;2020-10-05
208;73429.85938134143;2020-10-06
209;74325.08492157809;2020-10-07
210;75226.56685785038;2020-10-08
211;76134.30903759348;2020-10-09
212;77048.31507449404;2020-10-10
213;77968.58834827211;2020-10-11
214;78895.13200447494;2020-10-12
215;79827.94895392597;2020-10-13
216;80767.04187213829;2020-10-14
217;81712.4132004183;2020-10-15
218;82664.0651451135;2020-10-16
219;83621.99967742087;2020-10-17
220;84586.2185332403;2020-10-18
221;85556.72321304008;2020-10-19
222;86533.51498173476;2020-10-20
223;87516.59486857516;2020-10-21
224;88505.96366705114;2020-10-22
225;89501.62193480688;2020-10-23
226;90503.56999356726;2020-10-24
227;91511.80792855918;2020-10-25
228;92526.33558884152;2020-10-26
229;93547.1525876544;2020-10-27
230;94574.25830207817;2020-10-28
231;95607.65187301747;2020-10-29
232;96647.33220519846;2020-10-30
233;97693.29796717892;2020-10-31
234;98745.5475913718;2020-11-01
235;99804.079274082;2020-11-02
236;100868.8909755568;2020-11-03
237;101939.98042004964;2020-11-04
238;103017.3450958372;2020-11-05
239;104100.98225469944;2020-11-06
240;105190.8889129083;2020-11-07
241;106287.061851201;2020-11-08
242;107389.49761476058;2020-11-09
