;Cases;date
0;1.0;2020-03-20
1;1.187032951143299;2020-03-21
2;1.4078227506334409;2020-03-22
3;1.6682433254813946;2020-03-23
4;1.9751531800565802;2020-03-24
5;2.336554049239289;2020-03-25
6;2.7617740335017453;2020-03-26
7;3.2616797191626743;2020-03-27
8;3.848919784300279;2020-03-28
9;4.538206399546385;2020-03-29
10;5.346639181037239;2020-03-30
11;6.294077929330876;2020-03-31
12;7.4035713484596055;2020-04-01
13;8.701849757736044;2020-04-02
14;10.219890818649704;2020-04-03
15;11.993569216888083;2020-04-04
16;14.064401217453836;2020-04-05
17;16.480398297731753;2020-04-06
18;19.297044921451334;2020-04-07
19;22.578417518592072;2020-04-08
20;26.398464457562987;2020-04-09
21;30.84246906620617;2020-04-10
22;36.0087206405073;2020-04-11
23;42.010422177357256;2020-04-12
24;48.977866278546685;2020-04-13
25;57.06091558254386;2020-04-14
26;66.43182840218361;2020-04-15
27;77.28847512426418;2020-04-16
28;89.85799699763948;2020-04-17
29;104.40096506860559;2020-04-18
30;121.21610411536167;2020-04-19
31;140.645654238969;2020-04-20
32;163.08145140062294;2020-04-21
33;188.97181768935266;2020-04-22
34;218.82936259585847;2020-04-23
35;253.23980768565158;2020-04-24
36;292.87195977810165;2020-04-25
37;338.4889709204132;2020-04-26
38;390.96103782017275;2020-04-27
39;451.2797086570743;2020-04-28
40;520.5739821269493;2020-04-29
41;600.1283943084723;2020-04-30
42;691.4033224352528;2020-05-01
43;796.0577262237932;2020-05-02
44;915.9745855492924;2020-05-03
45;1053.2892977344022;2020-05-04
46;1210.4213142462033;2020-05-05
47;1390.1092972117606;2020-05-06
48;1595.4500892284198;2020-05-07
49;1829.9417794947271;2020-05-08
50;2097.5311327594127;2020-05-09
51;2402.665620575698;2020-05-10
52;2750.350240468596;2020-05-11
53;3146.2092594008514;2020-05-12
54;3596.5528446030366;2020-05-13
55;4108.448512278107;2020-05-14
56;4689.797085806263;2020-05-15
57;5349.412482910638;2020-05-16
58;6097.104579275547;2020-05-17
59;6943.76389774649;2020-05-18
60;7901.446155799011;2020-05-19
61;8983.45439202755;2020-05-20
62;10204.415942634123;2020-05-21
63;11580.349052249145;2020-05-22
64;13128.716432490313;2020-05-23
65;14868.457159587731;2020-05-24
66;16819.991496017654;2020-05-25
67;19005.18944235003;2020-05-26
68;21447.293383531312;2020-05-27
69;24170.783912069583;2020-05-28
70;27201.177373805567;2020-05-29
71;30564.742927732474;2020-05-30
72;34288.127507021636;2020-05-31
73;38397.878307270024;2020-06-01
74;42919.85455553417;2020-06-02
75;47878.525952554155;2020-06-03
76;53296.159325067136;2020-06-04
77;59191.90371591931;2020-06-05
78;65580.79237292841;2020-06-06
79;72472.70199445057;2020-06-07
80;79871.2939210682;2020-06-08
81;87773.01358472367;2020-06-09
82;96166.19813166349;2020-06-10
83;105030.37044297383;2020-06-11
84;114335.7900197173;2020-06-12
85;124043.32807439676;2020-06-13
86;134104.71223648742;2020-06-14
87;144463.20110379966;2020-06-15
88;155054.63292895266;2020-06-16
89;165808.8940961265;2020-06-17
90;176651.6824115456;2020-06-18
91;187506.51573579627;2020-06-19
92;198296.8515971831;2020-06-20
93;208948.20436999324;2020-06-21
94;219390.1345039142;2020-06-22
95;229558.00230344426;2020-06-23
