;Cases;date
0;2.0;2020-03-22
1;2.596837334137887;2020-03-23
2;3.3277460163596473;2020-03-24
3;4.213989529693534;2020-03-25
4;5.278939214622076;2020-03-26
5;6.548169154999039;2020-03-27
6;8.049550839603336;2020-03-28
7;9.813347142615717;2020-03-29
8;11.872305691589744;2020-03-30
9;14.261751575038243;2020-03-31
10;17.01967936302507;2020-04-01
11;20.186844362238027;2020-04-02
12;23.806853018202812;2020-04-03
13;27.926252433539958;2020-04-04
14;32.594619195183256;2020-04-05
15;37.86464615412807;2020-04-06
16;43.79222920424568;2020-04-07
17;50.43655205081168;2020-04-08
18;57.86016980969943;2020-04-09
19;66.12909077805016;2020-04-10
20;75.31285666677306;2020-04-11
21;85.48462082051573;2020-04-12
22;96.7212244606162;2020-04-13
23;109.10327054191198;2020-04-14
24;122.71519499225896;2020-04-15
25;137.64533613870807;2020-04-16
26;153.98599915232427;2020-04-17
27;171.83351998693266;2020-04-18
28;191.28832293542487;2020-04-19
29;212.45497743506198;2020-04-20
30;235.4422475588723;2020-04-21
31;260.36314054346104;2020-04-22
32;287.33494684646627;2020-04-23
33;316.4792790423824;2020-04-24
34;347.9221010812572;2020-04-25
35;381.7937560117823;2020-04-26
36;418.22898281589573;2020-04-27
37;457.3669312055684;2020-04-28
38;499.35116418516657;2020-04-29
39;544.3296599476587;2020-04-30
40;592.454796083187;2020-05-01
41;643.8833349456743;2020-05-02
42;698.7763927371103;2020-05-03
43;757.2994027506786;2020-05-04
44;819.6220684223997;2020-05-05
45;885.9183014047373;2020-05-06
46;956.3661569494961;2020-05-07
47;1031.147745523706;2020-05-08
48;1110.449146029783;2020-05-09
49;1194.460292016446;2020-05-10
50;1283.374857184857;2020-05-11
51;1377.3901167310491;2020-05-12
52;1476.706800755032;2020-05-13
53;1581.5289293858812;2020-05-14
54;1692.0636316697473;2020-05-15
55;1808.520958638631;2020-05-16
56;1931.1136627162603;2020-05-17
57;2060.056966051887;2020-05-18
58;2195.568317457186;2020-05-19
59;2337.8671332253753;2020-05-20
60;2487.1745126748024;2020-05-21
61;2643.7129293799953;2020-05-22
62;2807.7059238149195;2020-05-23
63;2979.3777621788213;2020-05-24
64;3158.9530741992703;2020-05-25
65;3346.6564847983013;2020-05-26
66;3542.7122166888525;2020-05-27
67;3747.3436746788566;2020-05-28
68;3960.7730223547364;2020-05-29
69;4183.220727841951;2020-05-30
70;4414.9050945896715;2020-05-31
71;4656.041786493635;2020-06-01
72;4906.843320742436;2020-06-02
73;5167.518550251701;2020-06-03
74;5438.272144130883;2020-06-04
75;5719.30403361991;2020-06-05
76;6010.808855295292;2020-06-06
77;6312.975397850727;2020-06-07
78;6625.986006282083;2020-06-08
79;6950.015992714928;2020-06-09
80;7285.233070362797;2020-06-10
81;7631.796743967512;2020-06-11
82;7989.857693363621;2020-06-12
83;8359.557187363236;2020-06-13
84;8741.026501390212;2020-06-14
85;9134.386288760088;2020-06-15
86;9539.745998924845;2020-06-16
87;9957.203326462419;2020-06-17
88;10386.843611059287;2020-06-18
89;10828.73927954377;2020-06-19
90;11282.949329797742;2020-06-20
91;11749.51880468354;2020-06-21
92;12228.47827882036;2020-06-22
93;12719.843396733366;2020-06-23
94;13223.614442663107;2020-06-24
95;13739.775905069857;2020-06-25
96;14268.296101817847;2020-06-26
97;14809.126846456205;2020-06-27
98;15362.203134831168;2020-06-28
99;15927.442881820218;2020-06-29
100;16504.74669984687;2020-06-30
101;17093.997725759815;2020-07-01
102;17695.061499195515;2020-07-02
103;18307.78587504016;2020-07-03
104;18932.00097698873;2020-07-04
105;19567.51927697534;2020-07-05
106;20214.135674395573;2020-07-06
107;20871.62765187187;2020-07-07
108;21539.755402949377;2020-07-08
109;22218.26199915336;2020-07-09
110;22906.87386109203;2020-07-10
111;23605.30106923351;2020-07-11
112;24313.23775204763;2020-07-12
113;25030.362534137807;2020-07-13
114;25756.3391516313;2020-07-14
115;26490.81703157218;2020-07-15
116;27233.431809680547;2020-07-16
117;27983.805919163893;2020-07-17
118;28741.549540626147;2020-07-18
119;29506.261300304304;2020-07-19
120;30277.52898676165;2020-07-20
121;31054.930341574105;2020-07-21
122;31838.034097694363;2020-07-22
123;32626.400843619977;2020-07-23
124;33419.583847984155;2020-07-24
125;34217.12996656504;2020-07-25
126;35018.58077850467;2020-07-26
127;35823.473519089035;2020-07-27
128;36631.341981519094;2020-07-28
129;37441.71748798251;2020-07-29
130;38254.13000796921;2020-07-30
131;39068.10911035059;2020-07-31
132;39883.18489162406;2020-08-01
133;40698.888939485936;2020-08-02
134;41514.755354687964;2020-08-03
135;42330.32166144172;2020-08-04
136;43145.12970766845;2020-08-05
137;43958.72654945281;2020-08-06
138;44770.665316963365;2020-08-07
139;45580.50602637032;2020-08-08
140;46387.81642631415;2020-08-09
141;47192.17272359729;2020-08-10
142;47993.16023138433;2020-08-11
143;48790.37404417923;2020-08-12
144;49583.41963155823;2020-08-13
145;50371.913647426656;2020-08-14
146;51155.484461142354;2020-08-15
147;51933.77232368063;2020-08-16
148;52706.42991540243;2020-08-17
149;53473.12268713035;2020-08-18
150;54233.52941778777;2020-08-19
151;54987.34270954877;2020-08-20
152;55734.26882111678;2020-08-21
153;56474.02804980983;2020-08-22
154;57206.35483937355;2020-08-23
155;57930.99781589958;2020-08-24
156;58647.71993053612;2020-08-25
157;59356.298398054496;2020-08-26
158;60056.524815685705;2020-08-27
159;60748.20537421538;2020-08-28
160;61431.160336427725;2020-08-29
161;62105.22406661339;2020-08-30
162;62770.24488164199;2020-08-31
163;63426.08486843066;2020-09-01
164;64072.61964483515;2020-09-02
165;64709.738106754325;2020-09-03
166;65337.34218804032;2020-09-04
167;65955.34667384923;2020-09-05
168;66563.67874375256;2020-09-06
169;67162.27768382797;2020-09-07
170;67751.09455287029;2020-09-08
171;68330.09185780965;2020-09-09
172;68899.24313978026;2020-09-10
173;69458.53260547295;2020-09-11
174;70007.95473953709;2020-09-12
175;70547.51390856071;2020-09-13
176;71077.22396221403;2020-09-14
177;71597.10783126118;2020-09-15
178;72107.19711943645;2020-09-16
179;72607.53167285428;2020-09-17
180;73098.15920528203;2020-09-18
181;73579.13489332523;2020-09-19
182;74050.5209666978;2020-09-20
183;74512.38624297995;2020-09-21
184;74964.80583745807;2020-09-22
185;75407.86076851426;2020-09-23
186;75841.63758848236;2020-09-24
187;76266.22802303145;2020-09-25
188;76681.72836822526;2020-09-26
189;77088.2393476519;2020-09-27
190;77485.86582354485;2020-09-28
191;77874.71642051164;2020-09-29
192;78254.90322342451;2020-09-30
193;78626.54129211378;2020-10-01
194;78989.74836717952;2020-10-02
195;79344.64480308697;2020-10-03
196;79691.35319531406;2020-10-04
197;80029.99812999825;2020-10-05
198;80360.70585424075;2020-10-06
199;80683.60384908837;2020-10-07
200;80998.8209204703;2020-10-08
201;81306.4868735277;2020-10-09
202;81606.73230345736;2020-10-10
203;81899.68838168158;2020-10-11
204;82185.48646465816;2020-10-12
205;82464.25814538024;2020-10-13
206;82736.13505537088;2020-10-14
207;83001.24868410932;2020-10-15
208;83259.73023442124;2020-10-16
209;83511.710354212;2020-10-17
210;83757.31908655008;2020-10-18
211;83996.68579733135;2020-10-19
212;84229.93902416143;2020-10-20
213;84457.2063743337;2020-10-21
214;84678.61437681284;2020-10-22
215;84894.2883653046;2020-10-23
216;85104.35248535677;2020-10-24
217;85308.92957742013;2020-10-25
218;85508.14110753172;2020-10-26
219;85702.10709297312;2020-10-27
220;85890.9460059067;2020-10-28
221;86074.774775774;2020-10-29
222;86253.7087255365;2020-10-30
223;86427.86152730517;2020-10-31
224;86597.34516432529;2020-11-01
225;86762.26988287737;2020-11-02
226;86922.74418142972;2020-11-03
227;87078.87478588481;2020-11-04
228;87230.76662692796;2020-11-05
229;87378.52282394361;2020-11-06
230;87522.24467235306;2020-11-07
231;87662.03163384862;2020-11-08
232;87797.98132997498;2020-11-09
233;87930.1895380995;2020-11-10
234;88058.75018958212;2020-11-11
235;88183.75537002577;2020-11-12
236;88305.2953221377;2020-11-13
237;88423.4584933737;2020-11-14
238;88538.33151544955;2020-11-15
239;88649.99919645609;2020-11-16
240;88758.54454628314;2020-11-17
241;88864.04878862368;2020-11-18
242;88966.59137386923;2020-11-19
243;89066.25003673359;2020-11-20
244;89163.10079789866;2020-11-21
245;89257.21794777056;2020-11-22
246;89348.67408572567;2020-11-23
247;89437.54013911843;2020-11-24
248;89523.88538232303;2020-11-25
249;89607.77749440295;2020-11-26
250;89689.28258580354;2020-11-27
251;89768.4651676565;2020-11-28
252;89845.38820137977;2020-11-29
253;89920.11312164096;2020-11-30
254;89992.699858948;2020-12-01
255;90063.20688932601;2020-12-02
256;90131.69128000113;2020-12-03
257;90198.2086537704;2020-12-04
258;90262.81324021606;2020-12-05
259;90325.55790088986;2020-12-06
260;90386.4941534505;2020-12-07
261;90445.67221122317;2020-12-08
262;90503.14103467521;2020-12-09
263;90558.94830454548;2020-12-10
264;90613.14046644719;2020-12-11
265;90665.76275664027;2020-12-12
266;90716.85922593436;2020-12-13
267;90766.47277268644;2020-12-14
268;90814.64519546606;2020-12-15
269;90861.41717203266;2020-12-16
270;90906.82829764186;2020-12-17
271;90950.91711066409;2020-12-18
272;90993.72111546964;2020-12-19
273;91035.27681025311;2020-12-20
274;91075.61973572001;2020-12-21
275;91114.78445957172;2020-12-22
276;91152.8046080896;2020-12-23
277;91189.71289047632;2020-12-24
278;91225.5411195397;2020-12-25
279;91260.320231673;2020-12-26
280;91294.08032359932;2020-12-27
281;91326.85069378733;2020-12-28
282;91358.65981146642;2020-12-29
283;91389.53535727812;2020-12-30
284;91419.50424345728;2020-12-31
285;91448.59263252497;2021-01-01
286;91476.82595542414;2021-01-02
287;91504.2289440925;2021-01-03
288;91530.8256448208;2021-01-04
289;91556.6394216545;2021-01-05
290;91581.69298173198;2021-01-06
291;91606.00839189031;2021-01-07
292;91629.60709476311;2021-01-08
293;91652.5099251928;2021-01-09
294;91674.73714224307;2021-01-10
295;91696.30842877079;2021-01-11
296;91717.24290459882;2021-01-12
297;91737.55914544004;2021-01-13
298;91757.27519720542;2021-01-14
299;91776.40858989436;2021-01-15
300;91794.97635280462;2021-01-16
301;91812.99503690528;2021-01-17
302;91830.48071537454;2021-01-18
303;91847.44899947236;2021-01-19
304;91863.91505218158;2021-01-20
305;91879.89360040732;2021-01-21
306;91895.39894683601;2021-01-22
307;91910.444982681;2021-01-23
308;91925.04520070791;2021-01-24
309;91939.2127024128;2021-01-25
310;91952.96021029432;2021-01-26
311;91966.30007837589;2021-01-27
312;91979.24430234528;2021-01-28
313;91991.80452939935;2021-01-29
314;92003.99207096918;2021-01-30
315;92015.81791151664;2021-01-31
316;92027.29271443297;2021-02-01
317;92038.42683293935;2021-02-02
318;92049.23031887141;2021-02-03
319;92059.71293123072;2021-02-04
320;92069.88414503068;2021-02-05
321;92079.75315669243;2021-02-06
322;92089.32889663977;2021-02-07
323;92098.62003313823;2021-02-08
324;92107.63498106945;2021-02-09
325;92116.38190913906;2021-02-10
326;92124.868746908;2021-02-11
327;92133.1031916058;2021-02-12
328;92141.09271458625;2021-02-13
329;92148.8445681759;2021-02-14
330;92156.36579190385;2021-02-15
331;92163.66321861182;2021-02-16
332;92170.74348042023;2021-02-17
333;92177.61301451758;2021-02-18
334;92184.27806877292;2021-02-19
335;92190.7447072067;2021-02-20
336;92197.01881627267;2021-02-21
337;92203.10610891173;2021-02-22
338;92209.01212928297;2021-02-23
339;92214.74225785675;2021-02-24
340;92220.30171599289;2021-02-25
341;92225.69557034335;2021-02-26
342;92230.92873707974;2021-02-27
343;92236.00598594503;2021-02-28
344;92240.931951422;2021-03-01
345;92245.7111360379;2021-03-02
346;92250.34790267063;2021-03-03
347;92254.84648448195;2021-03-04
348;92259.21098839128;2021-03-05
349;92263.44539837026;2021-03-06
350;92267.55357857664;2021-03-07
351;92271.53927632754;2021-03-08
352;92275.40613167764;2021-03-09
353;92279.15769574455;2021-03-10
354;92282.79740107461;2021-03-11
355;92286.32857655265;2021-03-12
356;92289.7544515266;2021-03-13
357;92293.07815838633;2021-03-14
358;92296.30273501051;2021-03-15
359;92299.43112708195;2021-03-16
360;92302.46619223399;2021-03-17
361;92305.41072183209;2021-03-18
362;92308.26741698419;2021-03-19
363;92311.03889416462;2021-03-20
364;92313.7276914798;2021-03-21
365;92316.33627069858;2021-03-22
366;92318.86701917679;2021-03-23
367;92321.32225167613;2021-03-24
368;92323.70421219898;2021-03-25
369;92326.0150901595;2021-03-26
370;92328.2570115294;2021-03-27
371;92330.43203190762;2021-03-28
372;92332.54214525569;2021-03-29
373;92334.58928550221;2021-03-30
374;92336.57532806347;2021-03-31
375;92338.50209128026;2021-04-01
376;92340.37133777079;2021-04-02
377;92342.18478240895;2021-04-03
378;92343.94409832107;2021-04-04
379;92345.65090029158;2021-04-05
380;92347.30675447357;2021-04-06
381;92348.91317991228;2021-04-07
382;92350.47164975658;2021-04-08
383;92351.98359240456;2021-04-09
384;92353.45039258352;2021-04-10
385;92354.87339444371;2021-04-11
386;92356.25391163312;2021-04-12
387;92357.59321315176;2021-04-13
388;92358.89252878839;2021-04-14
389;92360.1530513266;2021-04-15
390;92361.3759374981;2021-04-16
391;92362.5623088842;2021-04-17
