;Cases;date
0;0.999999999999999;2020-02-26
1;1.7694012653437117;2020-02-27
2;2.941623648020661;2020-02-28
3;4.651749021888311;2020-02-29
4;7.060109491974879;2020-03-01
5;10.353980988978034;2020-03-02
6;14.749222608531344;2020-03-03
7;20.49186826543883;2020-03-04
8;27.859674106173767;2020-03-05
9;37.16362757419384;2020-03-06
10;48.74941944894954;2020-03-07
11;62.998882284486875;2020-03-08
12;80.33139725206858;2020-03-09
13;101.2052710409346;2020-03-10
14;126.11908424554153;2020-03-11
15;155.61301220311117;2020-03-12
16;190.27011915813748;2020-03-13
17;230.71762625931052;2020-03-14
18;277.6281537181135;2020-03-15
19;331.72093718851727;2020-03-16
20;393.76301835628715;2020-03-17
21;464.57040932600387;2020-03-18
22;545.0092304124272;2020-03-19
23;635.996820582847;2020-03-20
24;738.5028196965236;2020-03-21
25;853.5502215959914;2020-03-22
26;982.2163967557582;2020-03-23
27;1125.634082795237;2020-03-24
28;1284.9923421681901;2020-03-25
29;1461.5374850835688;2020-03-26
30;1656.5739530818762;2020-03-27
31;1871.4651654454758;2020-03-28
32;2107.6343246507577;2020-03-29
33;2366.565173558007;2020-03-30
34;2649.8027137847334;2020-03-31
35;2958.953863189305;2020-04-01
36;3295.688073965079;2020-04-02
37;3661.7378815455563;2020-04-03
38;4058.89940510451;2020-04-04
39;4489.032778274337;2020-04-05
40;4954.062508908487;2020-04-06
41;5455.977795322149;2020-04-07
42;5996.832728786773;2020-04-08
43;6578.746427396606;2020-04-09
44;7203.903126909486;2020-04-10
45;7874.552096772009;2020-04-11
46;8593.00758022421;2020-04-12
47;9361.648505883892;2020-04-13
48;10182.918218997173;2020-04-14
49;11059.324006123637;2020-04-15
50;11993.436560650973;2020-04-16
51;12987.889330132284;2020-04-17
52;14045.377675764634;2020-04-18
53;15168.658017991827;2020-04-19
54;16360.546692124628;2020-04-20
55;17623.91882668247;2020-04-21
56;18961.706920744262;2020-04-22
57;20376.899383347507;2020-04-23
58;21872.538888346095;2020-04-24
59;23451.720469697157;2020-04-25
60;25117.589552952384;2020-04-26
61;26873.339792910443;2020-04-27
62;28722.21073512002;2020-04-28
