;Estado;cases_7d
0;AC;156.027771013971
1;AL;208.1102596611324
2;AM;3527.016930385008
3;AP;969.5885442000794
4;BA;1664.173641566552
5;Brazil;58900.08600711541
6;CE;4127.938178499198
7;DF;1012.4209872650804
8;ES;2006.569732975761
9;GO;581.0708385333727
10;MA;1805.5330953970881
11;MG;1538.9236971246607
12;MS;183.84148701223592
13;MT;266.2019574902111
14;PA;1241.7601794121201
15;PB;470.5820213031423
16;PE;3800.872268033376
17;PI;175.21231769373935
18;PR;1439.3872523635018
19;RJ;7562.581303487476
20;RN;698.6967225694711
21;RO;253.23980768565158
22;RR;316.4792790423824
23;RS;1170.1293698027325
24;SC;1502.5224767424027
25;SE;65.5971778699445
26;SP;21872.53888834609
27;TO;38.95371900098033
